name;WoSline;author;title;journal;year
OLMEDO_P(2018)38:12377;4891;Olmedo, PV; A profile of foodservices in Curitiba and a critical analysis of the results of sanitary inspections at these establishments;J FOOD SAFETY;2018
SANTINI_S(2018)33:1;4998;Santini, S; 6th DACH+ Conference on energy_informatics (EnInf 2017);COMPUT SCI-RES DEV;2018
[ANONYMO_(2018)33:231;5039;[Anonymous]; The 6th D-A-CH+ Conference on energy_informatics, Lugano, Switzerland, October 5-6 2017 Abstracts;COMPUT SCI-RES DEV;2018
NOROUZI_A(2018):221;5073;Norouzi, A; Reliable and Energy-Efficient Routing for green_software Defined Networking;*****;2018
ALJARALL_S(2018):83;5140;Aljarallah, S; Software Sustainability from a User Perspective A case study of a developing country (Kingdom of Saudi Arabia);*****;2018
HUANG_C(2018):853;5239;Huang, CW; A Real-time and Memory-saving Link Recovery Mechanism for Green Software-Defined Networking;IEEE GLOB CONF SIG;2018
LU_J(2018):;5308;Lu, JW; Smart and Green Urban Solid Waste Collection System for Differentiated Collection with Integrated Sensor Networks;IEEE INT C NETW SENS;2018
DEMONTIS_A(2018):176;5389;De Montis, A; Big data perspectives Adoption of a regional environmental information system;ROUT ADV REGION ECON;2018
WU_Z(2018):904;5455;Wu, Z; Alignment Between Enterprise Green Supply Chain and green_information_system: An Analysis of Four Cases;IN C IND ENG ENG MAN;2018
GUAMAN_D(2018):3241414;5533;Guaman, D; Towards a (semi)-automatic reference process to support the reverse engineering and reconstruction of software architectures;*****;2018
MEMISOGL_T(2018)27:4357;5607;Memisoglu, T; SPATIAL CLUSTERING OF ENVIRONMENTAL POLLUTION RISK AREAS USING KERNEL DENSITY ANALYSIS IN THE VALLEYS OF TRABZON, TURKEY;FRESEN ENVIRON BULL;2018
GARCIA-M_G(2018):;5690;Garcia-Mireles, GA; Exploring Sustainability from the Software Quality Model Perspective;IBER CONF INF SYST;2018
SCHUMILI_A(2018):321;5771;Schumilin, A; A Consistent View of the Smart Grid: Bridging the Gap between IEC CIM and IEC 61850;EUROMICRO CONF PROC;2018
PUKHKAIE_D(2018):112;5842;Pukhkaiev, D; Star-BRISE: Energy-efficient Benchmarking for Interacting Algorithms;INT BLACK SEA CONF;2018
MANCEBO_J(2018):16;5918;Mancebo, J; EET: a device to support the measurement of software consumption;*****;2018
PONSARD_C(2018):31;6004;Ponsard, C; Building Sustainable Software for Sustainable Systems: Case Study of a Shared Pick-Up and Delivery Service;*****;2018
ANTHONY_B(2018)31:771;6080;Anthony, B; A collaborative agent based green_IS practice assessment tool for environmental sustainability attainment in enterprise data centers;J ENTERP INF MANAG;2018
STETSUYK_E(2018)10:3;6209;Stetsuyk, E; METHODOLOGY OF green_software DEVELOPMENT FOR THE IOT DEVICES;INT J INF TECHNOL SE;2018
SUPARTA_W(2018)10:815;6268;Suparta, W; Investigating Space Radiation Environment Effects on Communication of Razaksat-1;J AEROSP TECHNOL MAN;2018
LV_C(2018):8641471;6335;Lv, CY; The Application of a Complex Composite Fractal Interpolation Algorithm in the Seabed Terrain Simulation;MATH PROBL ENG;2018
GHANEM_M(2018):739;6395;Ghanem, M; Impact of Spring Water Qualitative Assessment on the Environmental Management System in the West Bank;ADV SCI TECHNOL INN;2018
BRAUN_E(2018):191;6451;Braun, E; A Lightweight Web Components Framework for Accessing Generic Data Services in Environmental information_system;PROGR IS;2018
GULDNER_A(2018):251;6518;Guldner, A; Energy Consumption and Hardware Utilization of Standard Software: Methods and Measurements for Software Sustainability;PROGR IS;2018
KERN_E(2018):263;6612;Kern, E; green_computing, green_software, and Its Characteristics: Awareness, Rating, Challenges;PROGR IS;2018
GONZALEZ_A(2018)5:44;6678;Gonzalez, AH; Sustainability and software;DILEMAS CONTEMP-EDUC;2018
MACHIN_A(2018)34:0102-311X00006617;6766;Machin, AB; Effects of exposure to air pollutants on children's health in Cuiaba, Mato Grosso State, Brazil;CAD SAUDE PUBLICA;2018
CORBETT_J(2018)147:261;6837;Corbett, J; Unmasking Corporate Sustainability at the Project Level: Exploring the Influence of Institutional Logics and Individual Agency;J BUS ETHICS;2018
FERNANDE_A(2017)43:73;6981;Fernandes, AHV; Location Alternatives in Environmental Impact Assessment of Roads in Minas Gerais State;DESENVOLV MEIO AMBIE;2017
CALERO_C(2017)16:117;7073;Calero, C; Puzzling out Software Sustainability;SUSTAIN COMPUT-INFOR;2017
LI_S(2017)60:1472;7135;Li, SC; Ultra Dense Cells Management and Resource Allocation in Green Software-Defined Wireless Networks;COMPUT J;2017
HOU_G(2017)63:139;7233;Hou, G; A novel green_software evaluation model for cloud robotics;COMPUT ELECTR ENG;2017
GUO_J(2017)10:s12517-017-3228-1;7317;Guo, JY; A quantitative model to evaluate mine geological environment and a new information_system for the mining area in Jilin province, mid-northeastern China;ARAB J GEOSCI;2017
KHAN_S(2017)16:263;7419;Khan, SAR; The Impact of Green Supply Chain on Enterprise Performance: In the Perspective of China;J ADV MANUF SYST;2017
YANG_Z(2017)9:su9081369;7500;Yang, ZJ; Green, Green, It's Green: A Triad Model of Technology, Culture, and Innovation for Corporate Sustainability;SUSTAINABILITY-BASEL;2017
FIORINI_P(2017)37:241;7677;Fiorini, PD; information_system and sustainable supply chain management towards a more sustainable society: Where we are and where we are going;INT J INFORM MANAGE;2017
ZONG_Z(2017)8:27;7784;Zong, ZL; Marcher: A Heterogeneous System Supporting Energy-Aware High Performance Computing and Big Data Analytics;BIG DATA RES;2017
LOESER_F(2017)27:503;7852;Loeser, F; How IT executives create organizational benefits by translating environmental strategies into Green_IS initiatives;INFORM SYST J;2017
KHAN_S(2017)24:16829;8053;Khan, SAR; Impact of green supply chain management practices on firms' performance: an empirical study from the perspective of Pakistan;ENVIRON SCI POLLUT R;2017
HUANG_B(2017)3:76;8198;Huang, BY; energy_informatics: Fundamentals and standardization;ICT EXPRESS;2017
CHEN_P(2017)27:135;8281;Chen, PC; An information_system for sustainable materials management with material flow accounting and waste input-output analysis;SUSTAIN ENVIRON RES;2017
HU_Y(2017)7:app7050459;8376;Hu, Y; An Initial Load-Based green_software Defined Network;APPL SCI-BASEL;2017
SUPARTA_W(2017)362:s10509-017-3082-3;8449;Suparta, W; Simulation of major space particles toward selected materials in a near-equatorial low earth orbit;ASTROPHYS SPACE SCI;2017
PEREIRA_A(2017)22:0001215;8533;Pereira, AJ; Operational Hydrometeorological Forecast System for Espirito Santo State, Brazil;J HYDROL ENG;2017
DALVI-ES_M(2017)34:583;8606;Dalvi-Esfahani, M; Modelling upper echelons' behavioural drivers of green_IT/IS adoption using an integrated Interpretive Structural Modelling - Analytic Network Process approach;TELEMAT INFORM;2017
KURKALOV_L(2017)96:83;8788;Kurkalova, LA; Sustainable production: Using simulation modeling to identify the benefits of green_information_system;DECIS SUPPORT SYST;2017
TARANTIN_M(2017)229:205;8938;Tarantino, M; Database Green: Software, Environmentalism and Data Flows in China;CHINA QUART;2017
MICHANAN_J(2017)13:42;9024;Michanan, J; GreenC5: An adaptive, energy-aware collection for green_software development;SUSTAIN COMPUT-INFOR;2017
BEGHOURA_M(2017)22:27;9115;Beghoura, MA; green_software requirements and measurement: random decision forests-based software energy consumption profiling;REQUIR ENG;2017
LYAZAT_N(2017)7:29;9194;Lyazat, N; Corporate environmental_information_system data storage development and management (environmental_information_system);OPEN COMPUT SCI;2017
MORAGA_M(2017)29:1850;9270;Moraga, MA; GreCo: Green code of ethics;J SOFTW-EVOL PROC;2017
LEHNHOFF_S(2017)59:1;9366;Lehnhoff, S; Recent trends in energy_informatics research;IT-INF TECHNOL;2017
GODBOLEY_S(2017)42:619;9407;Godboley, S; An Automated Analysis of the Branch Coverage and Energy Consumption Using Concolic Testing;ARAB J SCI ENG;2017
LI_X(2017):423;9489;Li, XZ; Primary Investigation into the Internal Risk Control of Enterprise Finance Shared Center;*****;2017
GUO_H(2017):141;9536;Guo, HL; The design and implementation of the Qingyi River water environment basic information_system;*****;2017
ALHARBI_O(2017)10243:348;9591;Alharbi, O; GreenCrowd: An IoT-Based Smartphone App for Residential Electricity Conservation;LECT NOTES COMPUT SC;2017
PA_N(2017):325;9671;Pa, NC; Dashboard System for Measuring green_software Design;*****;2017
JRADI_M(2017)132:21;9742;Jradi, M; A World Class Energy Efficient University Building by Danish 2020 Standards;ENRGY PROCED;2017
ALBERTO_G(2017):;9817;Alberto, G; A Classification Approach of Sustainability Aware Requirements Methods;IBER CONF INF SYST;2017
HWANG_P(2017):517;9917;Hwang, PW; A Study on Energy Strategy of a Plant Factory using Sustainable Energy Combined with Computational Fluid Dynamics Simulation An innovative practice of green_information_system;*****;2017
CHEMERIS_A(2017)105:111;9981;Chemeris, A; Influence of Software Optimization on Energy Consumption of Embedded Systems;STUD SYST DECIS CONT;2017
MAEVSKY_D(2017)105:155;10058;Maevsky, DA; Malicious Software Effect on the Mobile Devices Power Consumption;STUD SYST DECIS CONT;2017
MUNOZ_D(2017):;10126;Munoz, DJ; HADAS and web services: Eco-efficiency assistant and repository use case evaluation;*****;2017
MUNOZ_D(2017):3129818;10191;Munoz, DJ; green_software Development and Research with the HADAS toolkit;*****;2017
ANWAR_H(2017):157;10255;Anwar, H; Towards greener software engineering using software analytics: A systematic mapping;*****;2017
KUSUMAWA_D(2017):21;10342;Kusumawati, D; Spectrum Requirement for IoT Services: A Case of Jakarta Smart City;*****;2017
LIU_K(2017):UNSP V009T07A028;10400;Liu, K; energy_informatics AND FRACTIONAL CALCULUS;PROC ASME DES ENG TE;2017
PIEL_J(2017)34:994;10530;Piel, JH; Promoting the System Integration of Renewable Energies: Toward a Decision Support System for Incentivizing Spatially Diversified Deployment;J MANAGE INFORM SYST;2017
MASA'DEH_R(2017)8:395;10647;Masa'deh, R; The impact of employee's perception of implementing green supply chain management on hotel's economic and operational performance;J HOSP TOUR TECHNOL;2017
YANG_Z(2017)23:486;10807;Yang, ZJ; Employees' collaborative use of green_information_system for corporate sustainability: motivation, effort and performance;INFORM TECHNOL DEV;2017
SEIDEL_S(2017)40:3;10960;Seidel, S; The Sustainability Imperative in information_system Research;COMMUN ASSOC INF SYS;2017
CHERRADI_G(2017)109:982;11079;Cherradi, G; Real-Time HazMat environmental_information_system: A micro-service based architecture;PROCEDIA COMPUT SCI;2017
MAEVSKY_D(2017)74:101;11161;Maevsky, DA; Evaluating the RAM Energy Consumption at the Stage of Software Development;STUD SYST DECIS CONT;2017
COUTO_M(2017):3125382;11235;Couto, M; Towards a Green Ranking for Programming Languages;*****;2017
WANG_X(2017)28:1871;11334;Wang, XJ; Ecological environment information_system based on positioning technology;AGRO FOOD IND HI TEC;2017
LIAN_Y(2017)28:1925;11393;Lian, YH; Research on agricultural ecological environment digital information system;AGRO FOOD IND HI TEC;2017
LAWRENCE_T(2017)180:1402;11452;Lawrence, TM; Data flow requirements for integrating smart buildings and a smart grid through model predictive control;PROCEDIA ENGINEER;2017
IJAB_M(2017):589;11538;Ijab, MT; THE PRACTICE USING green_information_system (green_is) SOLUTIONS FOR ECO-FRIENDLY ORGANISATIONS;PROC INT CONF COMP;2017
PA_N(2017):607;11599;Pa, NC; TOWARDS sustainable_information_system THROUGH GREEN DESIGN;PROC INT CONF COMP;2017
MAEVSKY_D(2017)9:20170903008;11666;Maevsky, D; Program Tools for Estimation of the green_software Reliability;ITM WEB CONF;2017
DALVI-ES_M(2017)117:582;11729;Dalvi-Esfahani, M; Moderating role of personal values on managers' intention to adopt green_iS Examining norm activation theory;IND MANAGE DATA SYST;2017
